trade_id,signal_id,symbol,strategy_id,regime,side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,qty,gross_pnl,fee,slippage,net_pnl,reward_risk,bars_held,exit_reason,entry_reason,filters_passed,filters_failed,expected_edge_bps,actual_edge_bps
TRD-SIG-BT-00000082,SIG-BT-00000082,BTCUSDT,mean_revert_v1,neutral,long,1679320620000,1679320920000,27804.159720,28000.751351,27739.429283,28006.352621,0.09778902,19.224503,2.182843,1.635211,15.406449,3.123614,6,take_profit,"mean_revert_v1 ext_atr=-3.12, wick=0.43, close_location=0.95, vol=1.31, atr_bps=23.3",extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,59.720378,56.663408
TRD-SIG-BT-00000083,SIG-BT-00000083,BTCUSDT,mean_revert_v1,neutral,long,1679321460000,1679322000000,27898.478580,27822.667241,27828.232887,28046.363973,0.09044022,-6.856394,2.015773,2.774087,-11.646254,2.105259,10,stop_loss,"mean_revert_v1 ext_atr=-2.11, wick=0.58, close_location=0.58, vol=1.44, atr_bps=25.2",extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,40.008408,-46.157699
TRD-SIG-BT-00000084,SIG-BT-00000084,BTCUSDT,mean_revert_v1,neutral,long,1679323620000,1679324400000,27923.783640,28069.226746,27877.775998,28074.841714,0.13770683,20.028509,3.084248,2.311184,14.633077,3.283326,14,take_profit,"mean_revert_v1 ext_atr=-3.28, wick=0.68, close_location=0.94, vol=1.10, atr_bps=16.5",extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,41.096564,38.054491
TRD-SIG-BT-00000085,SIG-BT-00000085,BTCUSDT,mean_revert_v1,bullish,long,1679324940000,1679325000000,27965.792040,27917.766163,27923.350833,28091.743931,0.14979583,-7.194076,3.348450,4.606636,-15.149162,2.967679,2,stop_loss,"mean_revert_v1 ext_atr=-2.97, wick=0.55, close_location=0.55, vol=1.21, atr_bps=15.2",extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,32.037842,-36.162775
TRD-SIG-BT-00000086,SIG-BT-00000086,BTCUSDT,mean_revert_v1,neutral,long,1679337240000,1679337360000,27906.780240,27846.542173,27852.112596,27983.256423,0.11587827,-6.980283,2.584240,3.555772,-13.120295,1.398930,3,stop_loss,"mean_revert_v1 ext_atr=-1.40, wick=0.56, close_location=0.56, vol=1.12, atr_bps=19.6",extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,14.404158,-40.572507
TRD-SIG-BT-00000087,SIG-BT-00000087,BTCUSDT,mean_revert_v1,bullish,long,1679345460000,1679345460000,27996.398160,27958.055535,27963.648265,28050.646184,0.19282846,-7.393549,4.315844,5.936874,-17.646267,1.656434,1,stop_loss,"mean_revert_v1 ext_atr=-1.66, wick=0.47, close_location=0.61, vol=1.39, atr_bps=11.7",extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,6.376787,-32.687339
TRD-SIG-BT-00000088,SIG-BT-00000088,BTCUSDT,mean_revert_v1,bullish,long,1679395740000,1679395800000,27975.694020,27932.685344,27938.272999,28096.511430,0.16805106,-7.227654,3.758185,5.170034,-16.155873,3.228597,2,stop_loss,"mean_revert_v1 ext_atr=-3.23, wick=0.63, close_location=0.63, vol=1.27, atr_bps=13.4",extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,30.186564,-34.364362
TRD-SIG-BT-00000089,SIG-BT-00000089,BTCUSDT,mean_revert_v1,bullish,long,1679399220000,1679399220000,28010.500980,27980.346636,27985.943824,28068.940097,0.25509504,-7.692224,5.713195,7.858335,-21.263754,2.379718,1,stop_loss,"mean_revert_v1 ext_atr=-2.38, wick=0.54, close_location=0.81, vol=1.22, atr_bps=8.8",extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,7.863289,-29.758912
TRD-SIG-BT-00000090,SIG-BT-00000090,BTCUSDT,mean_revert_v1,bullish,long,1679405160000,1679405940000,28032.305340,27982.298040,27987.895619,28123.592965,0.14034119,-7.018084,3.144462,4.326092,-14.488638,2.055578,14,stop_loss,"mean_revert_v1 ext_atr=-2.06, wick=0.78, close_location=1.00, vol=1.41, atr_bps=15.8",extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,19.565151,-36.828464
TRD-SIG-BT-00000091,SIG-BT-00000091,BTCUSDT,mean_revert_v1,bullish,long,1679407800000,1679407860000,27932.385360,27880.218182,27885.795341,28079.622045,0.13330709,-6.954255,2.976086,4.094553,-14.024894,3.160262,2,stop_loss,"mean_revert_v1 ext_atr=-3.16, wick=0.65, close_location=0.65, vol=1.32, atr_bps=16.7",extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,39.711819,-37.665028
TRD-SIG-BT-00000092,SIG-BT-00000092,BTCUSDT,mean_revert_v1,bullish,long,1679412840000,1679413080000,27997.598400,28051.544895,27964.496337,28057.156327,0.18698964,10.087436,4.192244,3.143174,2.752018,1.799221,5,take_profit,"mean_revert_v1 ext_atr=-1.80, wick=0.72, close_location=0.72, vol=1.70, atr_bps=11.8",extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,8.272513,5.256696
TRD-SIG-BT-00000093,SIG-BT-00000093,BTCUSDT,mean_revert_v1,bullish,long,1679413320000,1679413920000,28005.600000,28073.468791,27972.700141,28079.084608,0.18826435,12.777274,4.223076,3.166030,5.388168,2.233584,11,take_profit,"mean_revert_v1 ext_atr=-2.23, wick=0.73, close_location=0.73, vol=1.44, atr_bps=11.7",extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,13.239255,10.219466
TRD-SIG-BT-00000094,SIG-BT-00000094,BTCUSDT,mean_revert_v1,bullish,long,1679414880000,1679415060000,28026.904260,28101.398378,27995.894149,28107.019782,0.19999777,14.898657,4.490214,3.366171,7.042272,2.583529,4,take_profit,"mean_revert_v1 ext_atr=-2.58, wick=0.56, close_location=0.67, vol=1.32, atr_bps=11.1",extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,15.585220,12.563554
TRD-SIG-BT-00000095,SIG-BT-00000095,BTCUSDT,mean_revert_v1,bullish,long,1679420520000,1679420700000,28114.521780,28053.654991,28059.266844,28190.133199,0.11243369,-6.843478,2.526078,3.475752,-12.845308,1.368410,4,stop_loss,"mean_revert_v1 ext_atr=-1.37, wick=0.65, close_location=0.65, vol=3.61, atr_bps=19.7",extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,13.894080,-40.636600
TRD-SIG-BT-00000096,SIG-BT-00000096,BTCUSDT,mean_revert_v1,bullish,long,1679429100000,1679430600000,28077.914460,28145.973105,28047.704514,28151.603426,0.20500693,13.952494,4.610515,3.456491,5.885488,2.439229,26,take_profit,"mean_revert_v1 ext_atr=-2.44, wick=0.60, close_location=0.60, vol=3.00, atr_bps=10.8",extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,13.244459,10.224665
TRD-SIG-BT-00000097,SIG-BT-00000097,BTCUSDT,mean_revert_v1,bullish,long,1679431860000,1679432460000,28063.711620,28027.966072,28033.572787,28142.768107,0.20578357,-7.355846,4.617098,6.351084,-18.324029,2.623077,11,stop_loss,"mean_revert_v1 ext_atr=-2.62, wick=0.44, close_location=0.84, vol=1.38, atr_bps=10.7",extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,15.170361,-31.729642
TRD-SIG-BT-00000098,SIG-BT-00000098,BTCUSDT,mean_revert_v1,neutral,long,1679434500000,1679434500000,28012.001280,27977.410202,27983.006804,28090.631658,0.21295748,-7.366429,4.769346,6.560428,-18.696202,2.711909,1,stop_loss,"mean_revert_v1 ext_atr=-2.71, wick=0.75, close_location=0.75, vol=1.53, atr_bps=10.4",extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,15.070246,-31.341254
TRD-SIG-BT-00000099,SIG-BT-00000099,BTCUSDT,mean_revert_v1,neutral,long,1679445960000,1679446860000,28000.699020,27965.160522,27970.754673,28094.192848,0.20526567,-7.294833,4.595148,6.320881,-18.210862,3.122253,16,stop_loss,"mean_revert_v1 ext_atr=-3.12, wick=0.37, close_location=0.94, vol=1.43, atr_bps=10.7",extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,20.389819,-31.684388
TRD-SIG-BT-00000100,SIG-BT-00000100,BTCUSDT,mean_revert_v1,neutral,long,1679448360000,1679448840000,28032.105300,28002.929245,28008.530952,28090.674054,0.25957154,-7.573273,5.818040,8.002456,-21.393769,2.484427,9,stop_loss,"mean_revert_v1 ext_atr=-2.48, wick=0.44, close_location=0.94, vol=2.33, atr_bps=8.4",extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,7.893455,-29.401840
TRD-SIG-BT-00000101,SIG-BT-00000101,BTCUSDT,mean_revert_v1,bullish,long,1679449140000,1679449200000,28026.304140,27998.148603,28003.749352,28099.170807,0.26988236,-7.598683,6.048005,8.318666,-21.965353,3.230652,2,stop_loss,"mean_revert_v1 ext_atr=-3.23, wick=0.47, close_location=0.81, vol=1.29, atr_bps=8.0",extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,12.999385,-29.040084
TRD-SIG-BT-00000102,SIG-BT-00000102,BTCUSDT,mean_revert_v1,bullish,long,1679470560000,1679471100000,28081.715220,28049.061379,28054.672314,28163.981669,0.22387354,-7.310331,5.026478,6.913966,-19.250776,3.042071,10,stop_loss,"mean_revert_v1 ext_atr=-3.04, wick=0.52, close_location=0.89, vol=1.37, atr_bps=9.6",extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,16.295379,-30.621173
TRD-SIG-BT-00000103,SIG-BT-00000103,BTCUSDT,mean_revert_v1,bullish,short,1679509980000,1679510100000,28452.108440,28314.139462,28554.096677,28308.477766,0.05907853,8.151004,1.341467,1.006915,5.802622,1.408306,3,take_profit,"mean_revert_v1 ext_atr=1.41, wick=0.38, close_location=0.76, vol=1.57, atr_bps=35.8",extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,37.481557,34.520746
TRD-SIG-BT-00000104,SIG-BT-00000104,BTCUSDT,mean_revert_v1,neutral,long,1679511600000,1679511660000,28024.503780,27888.332066,27893.910848,28183.685087,0.04620479,-6.291786,1.033376,1.423094,-8.748256,1.218912,2,stop_loss,"mean_revert_v1 ext_atr=-1.22, wick=0.41, close_location=0.85, vol=1.18, atr_bps=46.6",extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,43.800758,-67.561076
TRD-SIG-BT-00000105,SIG-BT-00000105,BTCUSDT,mean_revert_v1,neutral,short,1679584380000,1679584500000,28290.440780,28393.122254,28387.444765,28089.847445,0.06206855,-6.373290,1.407307,1.932816,-9.713413,2.067888,3,stop_loss,"mean_revert_v1 ext_atr=2.07, wick=0.53, close_location=0.98, vol=1.28, atr_bps=34.3",extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,57.904987,-55.317242
TRD-SIG-BT-00000106,SIG-BT-00000106,BTCUSDT,mean_revert_v1,neutral,short,1679584860000,1679585460000,28487.701320,28604.456863,28598.737115,28227.546410,0.05409361,-6.315728,1.235328,1.696366,-9.247422,2.342982,11,stop_loss,"mean_revert_v1 ext_atr=2.34, wick=0.36, close_location=0.73, vol=1.06, atr_bps=39.0",extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,78.321833,-60.009133
TRD-SIG-BT-00000107,SIG-BT-00000107,BTCUSDT,mean_revert_v1,neutral,short,1679586840000,1679588340000,28574.184020,28365.978614,28645.698119,28360.306552,0.08379404,17.446373,1.908499,1.433119,14.104755,2.990704,26,take_profit,"mean_revert_v1 ext_atr=2.99, wick=0.37, close_location=0.97, vol=1.03, atr_bps=25.0",extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,61.849895,58.908581
TRD-SIG-BT-00000108,SIG-BT-00000108,BTCUSDT,mean_revert_v1,neutral,short,1679589000000,1679590740000,28474.304000,28465.792020,28525.133064,28312.788035,0.11831051,1.007057,2.694645,2.021084,-3.708672,3.177630,30,time_exit,"mean_revert_v1 ext_atr=3.18, wick=0.78, close_location=0.89, vol=1.15, atr_bps=17.8",extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,43.723411,-11.008852
TRD-SIG-BT-00000109,SIG-BT-00000109,BTCUSDT,mean_revert_v1,bullish,long,1679592420000,1679592660000,28192.837440,28249.032556,28142.245283,28254.683493,0.11875456,6.673427,2.681092,2.010152,1.982183,1.222443,5,take_profit,"mean_revert_v1 ext_atr=-1.22, wick=0.57, close_location=0.57, vol=3.87, atr_bps=17.9",extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,8.936796,5.920448
TRD-SIG-BT-00000110,SIG-BT-00000110,BTCUSDT,mean_revert_v1,bullish,long,1679597940000,1679598240000,27890.476980,27823.972893,27829.538800,28096.676425,0.09864133,-6.560051,2.198299,3.024957,-11.783307,3.383748,6,stop_loss,"mean_revert_v1 ext_atr=-3.38, wick=0.59, close_location=0.87, vol=1.24, atr_bps=21.9",extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,60.931846,-42.830422
TRD-SIG-BT-00000111,SIG-BT-00000111,BTCUSDT,mean_revert_v1,bullish,long,1679599380000,1679600340000,27835.265940,28031.336318,27770.971551,28036.943707,0.09321728,18.277147,2.083093,1.560493,14.633561,3.136786,17,take_profit,"mean_revert_v1 ext_atr=-3.14, wick=0.76, close_location=0.88, vol=1.57, atr_bps=23.1",extension_ok|rejection_ok|trend_block_ok|expected_edge_ok,,59.454047,56.397289
