trade_id,signal_id,symbol,strategy_id,regime,side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,qty,position_size_usd,entry_notional_usd,exit_notional_usd,avg_notional_usd,round_trip_notional_usd,fee_bps_on_combined_notional,fee_bps_on_entry_notional,equity_at_entry_usd,risk_amount_usd,risk_per_unit_usd,stop_distance_bps,risk_pct_of_equity,leverage_used,gross_pnl,fee,slippage,net_pnl,reward_risk,bars_held,exit_reason,entry_reason,filters_passed,filters_failed,expected_edge_bps,actual_edge_bps
TRD-SIG-BT-00000011,SIG-BT-00000011,BTCUSDT,mean_revert_v1,bearish,short,1579923300000,1579931700000,8321.070000,8339.073379,8339.073379,8268.403935,0.41136229,3422.974418,3422.974418,3430.380330,3426.677374,6853.354748,5.000000,10.010818,4937.274119,7.405911,18.003379,21.635894,0.150000,0.693292,-7.405911,3.426677,0.000000,-10.832589,2.925343,29,stop_loss,"mean_revert_v1_confirmed ext_atr=2.93, wick=0.39, close_location=0.83, reversal_progress_atr=0.55, vol=1.01, atr_bps=21.6",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,53.292420,-31.646712
TRD-SIG-BT-00000012,SIG-BT-00000012,BTCUSDT,mean_revert_v1,bearish,short,1579954500000,1579954800000,8316.470000,8329.359356,8329.359356,8269.320101,0.57331510,4767.957832,4767.957832,4775.347494,4771.652663,9543.305326,5.000000,10.007749,4926.441530,7.389662,12.889356,15.498590,0.150000,0.967830,-7.389662,4.771653,0.000000,-12.161315,3.658049,2,stop_loss,"mean_revert_v1_confirmed ext_atr=3.66, wick=0.42, close_location=0.72, reversal_progress_atr=0.23, vol=1.19, atr_bps=15.5",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,46.694606,-25.506339
TRD-SIG-BT-00000013,SIG-BT-00000013,BTCUSDT,mean_revert_v1,bearish,short,1579957800000,1579957800000,8305.900000,8319.050134,8319.050134,8265.368408,0.56055858,4655.943498,4655.943498,4663.314918,4659.629208,9319.258415,5.000000,10.007916,4914.280215,7.371420,13.150134,15.832280,0.150000,0.947431,-7.371420,4.659629,0.000000,-12.031050,3.082219,1,stop_loss,"mean_revert_v1_confirmed ext_atr=3.08, wick=0.57, close_location=0.92, reversal_progress_atr=0.29, vol=0.80, atr_bps=15.8",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,38.798555,-25.840197
TRD-SIG-BT-00000014,SIG-BT-00000014,BTCUSDT,mean_revert_v1,bearish,short,1579994100000,1579994400000,8354.440000,8371.441187,8371.441187,8297.860498,0.43252119,3613.472361,3613.472361,3620.825735,3617.149048,7234.298097,5.000000,10.010175,4902.249166,7.353374,17.001187,20.349882,0.150000,0.737105,-7.353374,3.617149,0.000000,-10.970523,3.327974,2,stop_loss,"mean_revert_v1_confirmed ext_atr=3.33, wick=0.68, close_location=0.92, reversal_progress_atr=0.31, vol=0.86, atr_bps=20.3",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,57.723872,-30.360057
TRD-SIG-BT-00000015,SIG-BT-00000015,BTCUSDT,mean_revert_v1,bearish,short,1582719900000,1582720200000,9219.090000,9253.294468,9253.294468,9091.561102,0.21450174,1977.510845,1977.510845,1984.847763,1981.179304,3962.358607,5.000000,10.018551,4891.278643,7.336918,34.204468,37.101784,0.150000,0.404293,-7.336918,1.981179,0.000000,-9.318097,3.728428,2,stop_loss,"mean_revert_v1_confirmed ext_atr=3.73, wick=0.45, close_location=0.84, reversal_progress_atr=0.44, vol=1.02, atr_bps=37.1",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,128.331330,-47.120335
TRD-SIG-BT-00000016,SIG-BT-00000016,BTCUSDT,mean_revert_v1,bearish,long,1582814700000,1582815000000,8865.940000,8837.161782,8837.161782,8910.880818,0.25446123,2256.038037,2256.038037,2248.715096,2252.376566,4504.753133,5.000000,9.983770,4881.960546,7.322941,28.778218,32.459297,0.150000,0.462117,-7.322941,2.252377,0.000000,-9.575317,1.561626,2,stop_loss,"mean_revert_v1_confirmed ext_atr=-1.56, wick=0.36, close_location=0.83, reversal_progress_atr=0.38, vol=0.90, atr_bps=32.5",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,40.689287,-42.443067
TRD-SIG-BT-00000017,SIG-BT-00000017,BTCUSDT,mean_revert_v1,bearish,long,1582820100000,1582820100000,8893.490000,8927.158757,8867.438841,8927.158757,0.28054712,2495.043041,2495.043041,2504.488714,2499.765878,4999.531755,5.000000,10.018929,4872.385228,7.308578,26.051159,29.292392,0.150000,0.512078,9.445673,2.499766,0.000000,6.945907,1.292409,1,take_profit,"mean_revert_v1_confirmed ext_atr=-1.29, wick=0.50, close_location=0.87, reversal_progress_atr=0.33, vol=1.10, atr_bps=29.3",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,27.857755,27.838827
TRD-SIG-BT-00000018,SIG-BT-00000018,BTCUSDT,mean_revert_v1,bearish,long,1582859700000,1582859700000,8892.020000,8870.570001,8870.570001,8925.935737,0.34121198,3034.063722,3034.063722,3026.744726,3030.404224,6060.808448,5.000000,9.987939,4879.331135,7.318997,21.449999,24.122752,0.150000,0.621820,-7.318997,3.030404,0.000000,-10.349401,1.581153,1,stop_loss,"mean_revert_v1_confirmed ext_atr=-1.58, wick=0.68, close_location=1.00, reversal_progress_atr=0.27, vol=0.96, atr_bps=24.1",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,28.141768,-34.110691
TRD-SIG-BT-00000019,SIG-BT-00000019,BTCUSDT,mean_revert_v1,bearish,long,1582929600000,1582934100000,8746.180000,8721.221870,8721.221870,8833.201276,0.29262900,2559.385886,2559.385886,2552.082413,2555.734150,5111.468299,5.000000,9.985732,4868.981735,7.303473,24.958130,28.536035,0.150000,0.525651,-7.303473,2.555734,0.000000,-9.859207,3.486691,16,stop_loss,"mean_revert_v1_confirmed ext_atr=-3.49, wick=0.45, close_location=0.87, reversal_progress_atr=0.51, vol=1.99, atr_bps=28.5",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,89.496324,-38.521767
TRD-SIG-BT-00000020,SIG-BT-00000020,BTCUSDT,mean_revert_v1,neutral,long,1583149200000,1583149800000,8767.830000,8747.140991,8747.140991,8848.630120,0.35229739,3088.883632,3088.883632,3081.594948,3085.239290,6170.478580,5.000000,9.988202,4859.122528,7.288684,20.689009,23.596498,0.150000,0.635688,-7.288684,3.085239,0.000000,-10.373923,3.905461,3,stop_loss,"mean_revert_v1_confirmed ext_atr=-3.91, wick=0.56, close_location=0.93, reversal_progress_atr=0.44, vol=0.94, atr_bps=23.6",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,82.155208,-33.584700
TRD-SIG-BT-00000021,SIG-BT-00000021,BTCUSDT,mean_revert_v1,neutral,long,1583178900000,1583180400000,8877.030000,8857.975124,8857.975124,8914.456205,0.38169353,3388.304916,3388.304916,3381.031793,3384.668355,6769.336709,5.000000,9.989267,4848.748605,7.273123,19.054876,21.465373,0.150000,0.698800,-7.273123,3.384668,0.000000,-10.657791,1.964127,6,stop_loss,"mean_revert_v1_confirmed ext_atr=-1.96, wick=0.37, close_location=0.68, reversal_progress_atr=0.34, vol=1.23, atr_bps=21.5",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,32.160728,-31.454640
TRD-SIG-BT-00000022,SIG-BT-00000022,BTCUSDT,mean_revert_v1,neutral,long,1583230800000,1583233200000,8846.780000,8829.067550,8829.067550,8885.476920,0.40971950,3624.698246,3624.698246,3617.441110,3621.069678,7242.139356,5.000000,9.989989,4838.090813,7.257136,17.712450,20.021353,0.150000,0.749200,-7.257136,3.621070,0.000000,-10.878206,2.184730,9,stop_loss,"mean_revert_v1_confirmed ext_atr=-2.18, wick=0.45, close_location=0.75, reversal_progress_atr=0.33, vol=2.22, atr_bps=20.0",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,33.741248,-30.011342
TRD-SIG-BT-00000023,SIG-BT-00000023,BTCUSDT,mean_revert_v1,neutral,long,1583284200000,1583285100000,8814.410000,8796.184009,8796.184009,8868.741510,0.39727984,3501.787435,3501.787435,3494.546616,3498.167025,6996.334051,5.000000,9.989661,4827.212608,7.240819,18.225991,20.677494,0.150000,0.725426,-7.240819,3.498167,0.000000,-10.738986,2.980991,4,stop_loss,"mean_revert_v1_confirmed ext_atr=-2.98, wick=0.42, close_location=0.84, reversal_progress_atr=0.68, vol=1.47, atr_bps=20.7",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,51.639417,-30.667155
TRD-SIG-BT-00000024,SIG-BT-00000024,BTCUSDT,mean_revert_v1,neutral,short,1583413200000,1583417100000,9080.110000,9098.475543,9098.475543,9029.119125,0.39338399,3571.969859,3571.969859,3579.194570,3575.582215,7151.164429,5.000000,10.010113,4816.473622,7.224710,18.365543,20.226124,0.150000,0.741615,-7.224710,3.575582,0.000000,-10.800293,2.776443,14,stop_loss,"mean_revert_v1_confirmed ext_atr=2.78, wick=0.42, close_location=0.99, reversal_progress_atr=0.60, vol=0.96, atr_bps=20.2",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,46.156671,-30.236237
TRD-SIG-BT-00000025,SIG-BT-00000025,BTCUSDT,mean_revert_v1,neutral,short,1583418900000,1583423700000,9067.840000,9084.432827,9084.432827,9024.065201,0.43443532,3939.389974,3939.389974,3946.598484,3942.994229,7885.988459,5.000000,10.009149,4805.673329,7.208510,16.592827,18.298544,0.150000,0.819737,-7.208510,3.942994,0.000000,-11.151504,2.638176,17,stop_loss,"mean_revert_v1_confirmed ext_atr=2.64, wick=0.39, close_location=0.69, reversal_progress_atr=0.33, vol=0.94, atr_bps=18.3",extension_ok|reversal_confirmation_ok|rejection_ok|trend_block_ok|expected_edge_ok,,38.274781,-28.307693
